time,aqi,pm2_5,pm10,co,no2,o3,so2,complexindex,rank,primary_pollutant,temp,humi,windlevel,winddirection,weather
2020-04-11,51.0,20,38,0.3,18,101,2,2.30387,188,臭氧8小时,14.250,30.083,1.708,,
2020-04-12,54.0,17,52,0.3,13,104,3,2.32857,145,臭氧8小时,18.542,13.333,1.958,,
2020-04-13,59.0,26,67,0.4,33,104,3,3.32500,246,颗粒物(PM10),16.304,31.435,1.391,,
2020-04-14,104.0,66,102,0.6,46,164,8,5.80119,171,臭氧8小时,18.583,35.500,1.750,,
2020-04-15,95.0,63,93,0.5,31,153,6,5.08482,229,臭氧8小时,18.375,45.292,1.875,,
2020-04-16,63.0,23,75,0.3,11,92,2,2.68690,163,颗粒物(PM10),14.458,54.583,2.250,,
2020-04-17,78.0,23,37,0.4,13,133,2,2.47530,195,臭氧8小时,16.625,36.292,2.167,,
2020-04-18,75.0,33,45,0.4,23,129,2,3.10030,62,臭氧8小时,16.042,40.000,1.500,,
2020-04-19,94.0,39,54,0.4,21,152,2,3.49405,194,臭氧8小时,16.136,49.227,2.546,,
2020-04-20,45.0,7,31,0.2,6,90,3,1.45536,13,,12.208,23.708,3.167,,
2020-04-21,42.0,7,33,0.1,5,83,2,1.37351,65,,8.708,18.917,2.833,,
2020-04-22,43.0,6,24,0.1,6,86,2,1.26012,1,,10.333,12.125,2.667,,
2020-04-23,45.0,7,21,0.2,9,89,2,1.36458,64,,12.636,13.727,2.091,,
2020-04-24,91.0,19,132,0.2,17,101,2,3.56815,60,颗粒物(PM10),19.875,12.375,2.875,,
2020-04-25,52.0,10,53,0.2,7,97,3,1.92411,326,颗粒物(PM10),17.833,16.375,2.458,,
2020-04-26,50.0,14,33,0.3,21,99,3,2.14018,36,,16.417,25.375,1.792,,
2020-04-27,76.0,41,63,0.7,29,131,4,3.85685,272,臭氧8小时,17.167,35.958,1.875,,
2020-04-28,131.0,59,109,0.6,40,194,6,5.70536,240,臭氧8小时,19.375,40.000,1.833,,
2020-04-29,152.0,61,117,0.7,27,217,8,5.75387,317,臭氧8小时,21.667,39.667,2.167,,
2020-04-30,202.0,90,126,1.0,44,275,9,7.59018,309,臭氧8小时,23.625,48.958,1.625,,
2020-05-01,204.0,108,132,1.1,42,283,7,8.18185,318,臭氧8小时,25.542,55.542,1.792,,
2020-05-02,133.0,55,81,0.6,20,196,4,4.67024,259,臭氧8小时,26.125,57.542,2.292,,
2020-05-03,80.0,59,65,1.2,26,98,5,4.26012,150,细颗粒物(PM2.5),20.958,70.792,1.917,,
2020-05-04,50.0,34,50,0.7,26,54,4,2.91488,283,,15.364,71.591,2.318,,
2020-05-05,67.0,48,50,0.6,29,89,2,3.55030,175,细颗粒物(PM2.5),16.292,75.083,1.875,,
2020-05-06,122.0,71,63,0.7,29,184,4,5.04524,320,臭氧8小时,19.391,63.391,1.783,,
2020-05-07,100.0,75,69,1.3,35,91,8,5.03065,148,细颗粒物(PM2.5),16.875,64.250,1.708,,
2020-05-08,55.0,39,20,1.0,18,89,2,2.68958,325,细颗粒物(PM2.5),13.958,84.792,2.000,,
2020-05-09,49.0,34,30,0.6,26,61,3,2.63125,155,,14.667,78.722,1.500,,
2020-05-10,55.0,19,60,0.4,17,84,2,2.48333,239,颗粒物(PM10),20.500,31.950,2.750,,
2020-05-11,88.0,18,126,0.2,9,91,3,3.20804,12,颗粒物(PM10),22.375,17.250,2.625,,
2020-05-12,87.0,18,123,0.2,14,104,2,3.35476,323,颗粒物(PM10),20.667,24.750,2.250,,
2020-05-13,118.0,41,186,0.5,33,169,4,5.90149,302,颗粒物(PM10),21.458,49.167,1.792,,
2020-05-14,116.0,35,89,0.5,25,177,4,4.19435,324,臭氧8小时,24.375,44.625,2.333,,
2020-05-15,57.0,40,53,0.6,21,104,2,3.25833,202,细颗粒物(PM2.5),18.917,68.542,1.958,,
2020-05-16,58.0,41,59,0.6,25,72,2,3.27262,182,细颗粒物(PM2.5),17.250,69.500,1.667,,
2020-05-17,66.0,17,81,0.3,29,71,2,2.91994,106,颗粒物(PM10),16.958,33.917,1.750,,
2020-05-18,48.0,10,48,0.2,13,85,2,1.91101,32,,20.364,25.273,2.273,,
2020-05-19,90.0,14,52,0.3,25,148,2,2.80119,198,臭氧8小时,22.333,30.292,1.792,,
2020-05-20,130.0,21,46,0.4,20,192,3,3.10714,42,臭氧8小时,23.167,45.250,1.750,,
2020-05-21,94.0,70,65,1.3,26,131,5,4.80565,288,细颗粒物(PM2.5),18.292,73.750,1.875,,
2020-05-22,78.0,42,35,0.8,19,133,2,3.23958,327,臭氧8小时,21.583,60.750,1.833,,
2020-05-23,43.0,5,13,0.3,12,85,3,1.28482,21,,20.318,55.455,2.046,,
2020-05-24,63.0,8,20,0.3,19,115,2,1.81637,14,臭氧8小时,23.042,40.125,1.833,,
2020-05-25,36.0,10,26,0.3,28,71,3,1.92589,167,,19.875,52.875,1.625,,
2020-05-26,61.0,9,18,0.2,17,113,2,1.72887,99,臭氧8小时,21.875,44.958,1.833,,
2020-05-27,49.0,9,22,0.3,13,98,2,1.61726,63,,23.333,38.458,1.875,,
2020-05-28,131.0,37,62,0.7,32,194,5,4.21369,164,臭氧8小时,24.000,49.261,1.826,,
2020-05-29,145.0,59,82,1.3,29,209,10,5.38006,257,臭氧8小时,23.542,56.083,2.083,,
2020-05-30,112.0,53,73,0.9,22,173,5,4.49673,322,臭氧8小时,23.048,60.524,2.000,,
2020-05-31,44.0,11,14,0.3,16,88,3,1.58929,79,,21.583,48.792,2.042,,
2020-06-01,110.0,19,56,0.4,29,170,3,3.28036,113,臭氧8小时,21.792,51.792,1.875,,
2020-06-02,99.0,23,74,0.3,25,158,2,3.43512,83,臭氧8小时,23.381,53.857,1.571,,
2020-06-03,134.0,42,218,0.3,32,141,2,6.10387,273,颗粒物(PM10),27.875,33.583,1.958,,
2020-06-04,68.0,8,42,0.3,20,121,3,2.20982,173,臭氧8小时,26.042,26.625,2.458,,
2020-06-05,101.0,12,38,0.5,18,161,4,2.53363,219,臭氧8小时,24.458,38.292,1.875,,
2020-06-06,146.0,21,56,0.6,27,210,5,3.62083,129,臭氧8小时,24.250,43.875,1.500,,
2020-06-07,202.0,34,93,0.7,35,272,5,5.13333,167,臭氧8小时,27.583,42.292,1.750,,
2020-06-08,136.0,55,117,0.6,31,199,4,5.47827,315,臭氧8小时,30.417,34.000,2.292,,
2020-06-09,70.0,38,90,0.8,26,123,7,4.10685,287,"颗粒物(PM10),臭氧8小时",26.208,53.708,1.917,,
2020-06-10,125.0,53,67,0.8,20,187,2,4.37351,325,臭氧8小时,26.292,58.542,1.917,,
2020-06-11,111.0,47,70,0.7,28,172,4,4.35952,285,臭氧8小时,25.250,61.750,1.792,,
2020-06-12,168.0,31,56,0.6,22,233,3,3.89196,237,臭氧8小时,27.000,49.667,1.500,,
2020-06-13,124.0,50,86,0.7,26,186,3,4.69464,316,臭氧8小时,28.261,44.783,1.652,,
2020-06-14,77.0,7,26,0.2,13,132,2,1.80476,,臭氧8小时,29.125,24.083,2.083,,
2020-06-15,97.0,14,52,0.3,27,156,2,2.90119,266,臭氧8小时,30.042,26.250,1.792,,
2020-06-16,158.0,35,110,0.9,30,223,12,5.14018,317,臭氧8小时,28.667,36.083,2.125,,
2020-06-17,96.0,20,80,0.4,19,155,3,3.30804,332,臭氧8小时,26.167,42.500,2.375,,
2020-06-18,109.0,23,56,0.5,21,169,2,3.19673,304,臭氧8小时,23.750,61.500,1.875,,
2020-06-19,123.0,23,44,0.5,18,185,2,3.05030,190,臭氧8小时,25.958,56.708,1.917,,
2020-06-20,148.0,37,78,0.6,19,212,3,4.17143,288,臭氧8小时,28.000,50.870,1.913,,
2020-06-21,131.0,36,75,0.6,20,194,3,4.01250,300,臭氧8小时,29.792,45.750,2.208,,
2020-06-22,129.0,48,81,0.7,22,191,4,4.51399,325,臭氧8小时,28.708,49.833,2.167,,
2020-06-23,125.0,44,61,0.7,21,187,4,4.06399,287,臭氧8小时,25.875,62.500,2.125,,
2020-06-24,89.0,19,29,0.5,14,146,2,2.37798,71,臭氧8小时,24.286,63.810,1.810,,
2020-06-25,84.0,32,34,0.6,19,140,2,2.93333,76,臭氧8小时,24.588,68.177,1.824,,
2020-06-26,102.0,30,34,0.6,18,162,3,3.00536,114,臭氧8小时,22.958,72.875,1.208,,
2020-06-27,140.0,66,66,0.9,21,204,2,4.88690,319,臭氧8小时,26.913,65.348,1.652,,
2020-06-28,121.0,55,53,0.8,18,183,2,4.15565,330,臭氧8小时,26.400,60.533,1.733,,
2020-06-29,60.0,28,38,0.5,27,111,3,2.88661,217,臭氧8小时,24.421,66.684,1.526,,
2020-06-30,89.0,15,26,0.4,17,146,3,2.28750,162,臭氧8小时,27.048,50.000,1.619,,
2020-07-01,146.0,24,53,0.5,26,210,3,3.58036,211,臭氧8小时,28.810,48.857,1.905,,
2020-07-02,97.0,28,33,0.7,15,156,3,2.84643,180,臭氧8小时,25.000,65.714,2.071,,
2020-07-03,69.0,50,38,0.9,17,119,3,3.41518,274,细颗粒物(PM2.5),24.800,66.533,1.733,,
2020-07-04,109.0,44,42,0.6,20,169,3,3.61339,302,臭氧8小时,25.250,66.625,1.667,,
2020-07-05,90.0,22,30,0.5,20,148,3,2.65714,202,臭氧8小时,26.333,65.500,1.667,,
2020-07-06,110.0,17,28,0.4,17,171,3,2.52946,128,臭氧8小时,24.875,69.625,1.458,,
2020-07-07,75.0,14,27,0.4,19,130,3,2.22321,72,臭氧8小时,27.375,51.958,1.667,,
2020-07-08,129.0,31,49,0.7,22,191,4,3.57113,302,臭氧8小时,26.955,57.318,1.682,,
2020-07-09,50.0,29,29,0.6,15,100,3,2.44286,265,,21.667,79.792,1.333,,
2020-07-10,65.0,47,41,0.7,19,107,2,3.28065,227,细颗粒物(PM2.5),22.208,78.333,1.250,,
2020-07-11,113.0,85,60,1.1,23,90,2,4.73155,320,细颗粒物(PM2.5),23.583,83.667,1.125,,
2020-07-12,113.0,85,57,1.2,22,128,3,4.94286,331,细颗粒物(PM2.5),24.333,82.042,1.375,,
2020-07-13,81.0,49,50,0.9,22,137,2,3.77887,324,臭氧8小时,25.083,73.292,1.125,,
2020-07-14,94.0,32,44,0.6,19,152,3,3.16786,234,臭氧8小时,26.375,65.250,1.417,,
2020-07-15,109.0,30,44,0.5,19,169,2,3.17530,290,臭氧8小时,27.875,62.042,1.458,,
2020-07-16,127.0,48,73,0.7,21,189,2,4.32887,261,臭氧8小时,28.292,60.958,1.875,,
2020-07-17,71.0,48,59,0.6,19,125,2,3.65387,287,臭氧8小时,26.667,69.417,1.708,,
2020-07-18,59.0,42,33,0.6,16,108,3,2.94643,296,细颗粒物(PM2.5),23.417,83.583,1.542,,
2020-07-19,48.0,27,27,0.5,16,96,3,2.33214,293,,26.478,62.261,1.304,,
2020-07-20,152.0,35,59,0.6,26,217,3,4.04911,220,臭氧8小时,28.000,61.167,1.792,,
2020-07-21,116.0,34,62,0.5,20,177,2,3.62173,299,臭氧8小时,29.348,50.739,2.174,,
2020-07-22,139.0,42,59,0.7,23,202,4,4.12202,287,臭氧8小时,27.682,56.046,1.636,,
2020-07-23,120.0,30,52,0.6,28,181,3,3.63125,255,臭氧8小时,27.333,56.083,1.375,,
2020-07-24,112.0,24,44,0.5,25,173,2,3.17887,236,臭氧8小时,30.167,46.500,1.583,,
2020-07-25,125.0,27,64,0.6,35,187,2,3.91280,236,臭氧8小时,28.917,52.375,1.583,,
2020-07-26,57.0,24,35,0.5,16,108,3,2.43571,300,臭氧8小时,23.609,71.000,1.739,,
2020-07-27,78.0,57,38,0.8,19,92,3,3.47143,271,细颗粒物(PM2.5),22.583,86.750,1.333,,
2020-07-28,95.0,71,44,0.9,19,131,3,4.22589,329,细颗粒物(PM2.5),23.826,83.696,1.261,,
2020-07-29,108.0,57,53,0.9,18,168,3,4.16071,290,臭氧8小时,26.083,76.708,1.375,,
2020-07-30,101.0,71,68,0.8,22,161,3,4.80625,328,臭氧8小时,29.261,68.130,1.739,,
2020-07-31,96.0,42,54,0.7,22,155,3,3.71518,298,臭氧8小时,28.391,68.478,1.609,,
2020-08-01,67.0,33,33,0.7,23,120,3,2.96429,213,臭氧8小时,26.208,75.167,1.208,,
2020-08-02,110.0,16,32,0.5,20,170,3,2.65179,178,臭氧8小时,27.542,66.708,1.542,,
2020-08-03,92.0,17,36,0.5,23,150,2,2.67083,138,臭氧8小时,29.389,58.278,1.722,,
2020-08-04,81.0,14,36,0.4,27,137,3,2.59554,298,臭氧8小时,31.786,46.929,1.429,,
2020-08-05,52.0,32,53,0.7,31,87,3,3.21518,288,颗粒物(PM10),26.773,79.773,1.682,,
2020-08-06,98.0,30,42,0.8,21,157,2,3.19673,259,臭氧8小时,26.688,76.063,1.250,,
2020-08-07,92.0,23,31,0.7,18,150,3,2.71250,229,臭氧8小时,,,,,
2020-08-08,100.0,22,40,0.6,18,159,2,2.82708,265,臭氧8小时,28.000,65.333,1.667,,
2020-08-09,110.0,17,31,0.4,15,170,2,2.49940,232,臭氧8小时,28.375,66.417,1.625,,
2020-08-10,98.0,15,28,0.4,15,157,2,2.31815,146,臭氧8小时,26.333,70.125,1.917,,
2020-08-11,135.0,30,54,0.6,20,198,3,3.56607,277,臭氧8小时,29.417,67.375,1.625,,
2020-08-12,60.0,33,46,0.7,20,111,3,3.01875,289,臭氧8小时,26.417,80.458,1.833,,
2020-08-13,68.0,13,19,0.6,14,121,3,1.94911,140,臭氧8小时,26.542,81.417,1.542,,
2020-08-14,118.0,28,45,0.6,22,179,3,3.31161,285,臭氧8小时,29.667,72.667,1.417,,
2020-08-15,50.0,32,45,0.6,23,99,3,2.95089,307,,27.333,79.708,1.458,,
2020-08-16,55.0,39,37,0.6,20,93,3,2.92411,259,细颗粒物(PM2.5),24.708,85.708,1.417,,
2020-08-17,67.0,48,40,0.8,20,80,3,3.19286,310,细颗粒物(PM2.5),25.458,83.958,1.417,,
2020-08-18,42.0,29,26,0.6,21,62,3,2.31250,327,,24.417,81.042,1.625,,
2020-08-19,28.0,11,23,0.4,22,55,2,1.66994,35,,23.333,76.500,1.167,,
2020-08-20,38.0,19,30,0.5,23,75,2,2.17351,217,,22.500,77.458,1.333,,
2020-08-21,85.0,23,45,0.6,25,141,2,2.98958,227,臭氧8小时,23.909,64.864,1.546,,
2020-08-22,95.0,36,58,0.7,25,153,2,3.64673,274,臭氧8小时,23.875,66.417,1.583,,
2020-08-23,97.0,57,71,0.8,24,156,2,4.45119,260,臭氧8小时,24.625,73.375,1.583,,
2020-08-24,62.0,9,19,0.4,15,114,3,1.76607,310,臭氧8小时,25.833,68.083,2.167,,
2020-08-25,107.0,17,43,0.5,29,167,2,3.02708,157,臭氧8小时,27.625,71.625,1.292,,
2020-08-26,108.0,61,79,1.6,31,168,5,5.17976,213,臭氧8小时,25.905,79.667,1.333,,
2020-08-27,62.0,43,50,1.0,25,114,2,3.56369,330,臭氧8小时,27.250,67.375,1.375,,
2020-08-28,94.0,17,40,0.5,24,152,2,2.76548,116,臭氧8小时,26.250,67.250,1.292,,
2020-08-29,97.0,49,74,0.8,31,156,3,4.45714,209,臭氧8小时,26.783,74.522,1.391,,
2020-08-30,87.0,52,55,0.9,21,144,3,3.97143,314,臭氧8小时,27.042,73.750,1.375,,
2020-08-31,27.0,15,24,0.5,21,52,3,1.79643,174,,23.875,71.250,1.958,,
2020-09-01,46.0,12,25,0.5,23,91,3,2.01875,100,,24.083,68.875,1.125,,
2020-09-02,36.0,13,26,0.4,19,71,3,1.81161,61,,23.923,46.269,2.115,,
2020-09-03,33.0,7,18,0.3,17,65,2,1.39673,10,—,23.462,43.000,1.769,,
2020-09-04,48.0,14,35,0.8,28,96,3,2.45000,92,,22.182,60.091,1.091,,
2020-09-05,95.0,24,52,0.9,32,154,2,3.44940,327,O3,25.333,54.667,1.333,,
2020-09-06,158.0,58,82,1.0,32,223,4,5.33899,217,O3,25.286,70.000,1.714,,
2020-09-07,55.0,15,27,0.4,19,106,3,2.10179,184,O3,26.227,54.318,1.727,,
2020-09-08,34.0,7,19,0.3,22,68,3,1.57143,36,,23.952,53.381,1.429,,
2020-09-09,40.0,8,23,0.4,26,80,3,1.85714,50,,25.750,42.700,1.700,,
2020-09-10,27.0,6,20,0.3,19,54,2,1.37798,84,,22.192,55.885,2.077,,
2020-09-11,22.0,5,15,0.4,17,43,3,1.20089,3,,22.731,60.769,1.885,,
2020-09-12,41.0,11,21,0.4,18,82,2,1.71012,3,,21.962,69.923,1.654,,
2020-09-13,64.0,24,39,0.5,25,116,2,2.75119,136,O3,22.654,71.154,1.538,,
2020-09-14,60.0,43,49,0.6,23,106,2,3.34940,248,PM2.5,22.360,79.280,1.520,,
